,handle,count,compound,positive,negative,neutral,date
373,BreitbartNews,74,0.0,0.0,0.0,1.0,1520214696.0
28,BBC,29,-0.3182,0.0,0.099,0.901,1520215209.0
372,BreitbartNews,73,0.0,0.0,0.0,1.0,1520216149.0
371,BreitbartNews,72,0.0,0.0,0.0,1.0,1520217629.0
27,BBC,28,0.4215,0.118,0.0,0.882,1520218779.0
26,BBC,27,0.8468,0.386,0.0,0.614,1520218805.0
370,BreitbartNews,71,0.0,0.0,0.0,1.0,1520219106.0
369,BreitbartNews,70,0.0,0.0,0.0,1.0,1520220592.0
368,BreitbartNews,69,0.0,0.0,0.0,1.0,1520222053.0
25,BBC,26,0.4019,0.184,0.089,0.726,1520223095.0
367,BreitbartNews,68,0.0,0.0,0.0,1.0,1520223625.0
366,BreitbartNews,67,0.0,0.0,0.0,1.0,1520225141.0
365,BreitbartNews,66,0.0,0.0,0.0,1.0,1520226625.0
364,BreitbartNews,65,0.0,0.0,0.0,1.0,1520228082.0
363,BreitbartNews,64,0.0,0.0,0.0,1.0,1520229645.0
362,BreitbartNews,63,0.0,0.0,0.0,1.0,1520231208.0
361,BreitbartNews,62,0.0,0.0,0.0,1.0,1520232731.0
360,BreitbartNews,61,0.0,0.0,0.0,1.0,1520234338.0
359,BreitbartNews,60,0.0,0.0,0.0,1.0,1520235988.0
358,BreitbartNews,59,0.0,0.0,0.0,1.0,1520236919.0
357,BreitbartNews,58,0.0,0.0,0.0,1.0,1520237538.0
356,BreitbartNews,57,0.0,0.0,0.0,1.0,1520239069.0
355,BreitbartNews,56,0.0,0.0,0.0,1.0,1520240765.0
354,BreitbartNews,55,0.34,0.156,0.0,0.844,1520240942.0
353,BreitbartNews,54,0.0,0.0,0.0,1.0,1520242470.0
352,BreitbartNews,53,0.0,0.0,0.0,1.0,1520244173.0
351,BreitbartNews,52,0.0,0.0,0.0,1.0,1520245635.0
350,BreitbartNews,51,-0.5106,0.0,0.155,0.845,1520247273.0
349,BreitbartNews,50,0.0,0.0,0.0,1.0,1520248748.0
348,BreitbartNews,49,0.0,0.0,0.0,1.0,1520250211.0
347,BreitbartNews,48,0.0,0.0,0.0,1.0,1520251799.0
346,BreitbartNews,47,0.0,0.0,0.0,1.0,1520253249.0
345,BreitbartNews,46,0.0,0.0,0.0,1.0,1520254799.0
299,nytimes,100,0.4019,0.231,0.0,0.769,1520257382.0
298,nytimes,99,0.0,0.0,0.0,1.0,1520257759.0
297,nytimes,98,0.0,0.0,0.0,1.0,1520258138.0
296,nytimes,97,0.6597,0.231,0.0,0.769,1520259909.0
295,nytimes,96,-0.296,0.0,0.104,0.896,1520260822.0
294,nytimes,95,0.0,0.0,0.0,1.0,1520262244.0
293,nytimes,94,-0.1406,0.0,0.079,0.921,1520263277.0
292,nytimes,93,0.4131,0.235,0.124,0.641,1520264290.0
291,nytimes,92,-0.3535,0.0,0.115,0.885,1520265284.0
24,BBC,25,0.0,0.0,0.0,1.0,1520265604.0
290,nytimes,91,-0.4158,0.0,0.14,0.86,1520266325.0
289,nytimes,90,0.0,0.0,0.0,1.0,1520267376.0
23,BBC,24,0.0,0.0,0.0,1.0,1520267404.0
288,nytimes,89,-0.5994,0.0,0.163,0.837,1520268428.0
22,BBC,23,0.0,0.0,0.0,1.0,1520269205.0
287,nytimes,88,0.0258,0.102,0.098,0.8,1520269494.0
286,nytimes,87,0.6369,0.198,0.0,0.802,1520270572.0
21,BBC,22,0.7506,0.286,0.0,0.714,1520271007.0
499,CBSNews,100,-0.7269,0.0,0.379,0.621,1520271185.0
285,nytimes,86,-0.946,0.0,0.538,0.462,1520271687.0
498,CBSNews,99,-0.6486,0.0,0.448,0.552,1520272085.0
497,CBSNews,98,0.4019,0.252,0.0,0.748,1520272444.0
20,BBC,21,0.5267,0.227,0.0,0.773,1520272703.0
284,nytimes,85,0.0,0.0,0.0,1.0,1520272777.0
496,CBSNews,97,0.0,0.0,0.0,1.0,1520272988.0
19,BBC,20,0.0,0.0,0.0,1.0,1520273360.0
283,nytimes,84,0.1779,0.131,0.1,0.769,1520273755.0
495,CBSNews,96,0.0,0.0,0.0,1.0,1520273890.0
494,CBSNews,95,-0.6486,0.136,0.391,0.473,1520274785.0
18,BBC,19,0.8126,0.27,0.0,0.73,1520275370.0
