,handle,count,compound,positive,negative,neutral,date
143,FoxNews,44,-0.1901,0.0,0.147,0.853,1520304900.0
238,nytimes,39,0.0,0.0,0.0,1.0,1520305026.0
435,CBSNews,36,-0.7479,0.0,0.261,0.739,1520305173.0
237,nytimes,38,0.0,0.0,0.0,1.0,1520305230.0
543,USATODAY,44,0.0,0.0,0.0,1.0,1520305402.0
236,nytimes,37,-0.5423,0.123,0.246,0.632,1520305626.0
142,FoxNews,43,-0.5106,0.0,0.216,0.784,1520306066.0
235,nytimes,36,0.0,0.0,0.0,1.0,1520306105.0
321,BreitbartNews,22,0.0,0.0,0.0,1.0,1520306115.0
542,USATODAY,43,0.0,0.0,0.0,1.0,1520306406.0
434,CBSNews,35,-0.4215,0.0,0.157,0.843,1520306521.0
234,nytimes,35,0.4926,0.225,0.0,0.775,1520306528.0
141,FoxNews,42,-0.4166,0.238,0.265,0.497,1520306905.0
541,USATODAY,42,0.0,0.0,0.0,1.0,1520306946.0
540,USATODAY,41,0.4588,0.2,0.0,0.8,1520306948.0
539,USATODAY,40,0.0,0.0,0.0,1.0,1520306953.0
0,BBC,1,0.0,0.0,0.0,1.0,1520307007.0
233,nytimes,34,0.5574,0.167,0.0,0.833,1520307019.0
433,CBSNews,34,0.0,0.0,0.0,1.0,1520307241.0
432,CBSNews,33,-0.5719,0.0,0.266,0.734,1520307260.0
320,BreitbartNews,21,0.0,0.0,0.0,1.0,1520307366.0
431,CBSNews,32,0.6369,0.215,0.0,0.785,1520307390.0
232,nytimes,33,-0.1779,0.0,0.072,0.928,1520307424.0
430,CBSNews,31,0.4215,0.138,0.052,0.81,1520307463.0
429,CBSNews,30,-0.5574,0.0,0.13,0.87,1520307564.0
231,nytimes,32,0.0258,0.048,0.0,0.952,1520307579.0
538,USATODAY,39,0.0516,0.199,0.15,0.65,1520307607.0
428,CBSNews,29,-0.7351,0.0,0.265,0.735,1520307728.0
140,FoxNews,41,-0.0258,0.094,0.099,0.807,1520307804.0
427,CBSNews,28,-0.5346,0.0,0.206,0.794,1520307900.0
230,nytimes,31,0.6808,0.228,0.0,0.772,1520307904.0
426,CBSNews,27,-0.5106,0.0,0.148,0.852,1520308163.0
229,nytimes,30,0.0516,0.159,0.11,0.732,1520308324.0
537,USATODAY,38,-0.1027,0.0,0.076,0.924,1520308658.0
536,USATODAY,37,0.0,0.0,0.0,1.0,1520308818.0
228,nytimes,29,0.3612,0.385,0.0,0.615,1520308840.0
425,CBSNews,26,-0.2023,0.0,0.076,0.924,1520308892.0
139,FoxNews,40,0.4019,0.162,0.0,0.838,1520309057.0
424,CBSNews,25,0.0,0.0,0.0,1.0,1520309158.0
423,CBSNews,24,0.0,0.0,0.0,1.0,1520309426.0
319,BreitbartNews,20,0.0,0.0,0.0,1.0,1520309433.0
422,CBSNews,23,0.3716,0.124,0.0,0.876,1520309522.0
138,FoxNews,39,0.6908,0.275,0.0,0.725,1520309597.0
227,nytimes,28,0.2144,0.085,0.0,0.915,1520309706.0
535,USATODAY,36,0.3612,0.217,0.0,0.783,1520310005.0
137,FoxNews,38,0.8465,0.325,0.0,0.675,1520310009.0
226,nytimes,27,-0.296,0.0,0.115,0.885,1520310124.0
136,FoxNews,37,0.8625,0.398,0.0,0.602,1520310267.0
421,CBSNews,22,0.0,0.0,0.0,1.0,1520310475.0
225,nytimes,26,0.0,0.0,0.0,1.0,1520310626.0
318,BreitbartNews,19,0.0,0.0,0.0,1.0,1520310644.0
420,CBSNews,21,-0.7269,0.105,0.333,0.562,1520310678.0
224,nytimes,25,0.0,0.0,0.0,1.0,1520310892.0
135,FoxNews,36,0.0772,0.058,0.0,0.942,1520310943.0
419,CBSNews,20,0.0,0.121,0.121,0.759,1520311174.0
534,USATODAY,35,0.0,0.0,0.0,1.0,1520311205.0
223,nytimes,24,-0.6908,0.0,0.251,0.749,1520311508.0
418,CBSNews,19,-0.4019,0.122,0.271,0.608,1520311801.0
134,FoxNews,35,-0.5574,0.0,0.261,0.739,1520311802.0
317,BreitbartNews,18,0.0,0.0,0.0,1.0,1520311870.0
133,FoxNews,34,0.6166,0.212,0.0,0.788,1520311967.0
222,nytimes,23,0.0,0.0,0.0,1.0,1520311970.0
221,nytimes,22,0.4588,0.136,0.0,0.864,1520312421.0
316,BreitbartNews,17,0.2263,0.101,0.0,0.899,1520312431.0
533,USATODAY,34,0.34,0.103,0.0,0.897,1520312438.0
132,FoxNews,33,0.0,0.0,0.0,1.0,1520312659.0
417,CBSNews,18,0.0,0.0,0.0,1.0,1520313001.0
315,BreitbartNews,16,0.0,0.0,0.0,1.0,1520313050.0
220,nytimes,21,0.0,0.0,0.0,1.0,1520313303.0
532,USATODAY,33,-0.1027,0.159,0.181,0.659,1520313604.0
531,USATODAY,32,0.0,0.0,0.0,1.0,1520313723.0
131,FoxNews,32,-0.7094,0.116,0.326,0.558,1520313824.0
416,CBSNews,17,-0.6908,0.0,0.231,0.769,1520314107.0
219,nytimes,20,-0.6705,0.0,0.164,0.836,1520314211.0
530,USATODAY,31,0.3818,0.233,0.142,0.625,1520314264.0
529,USATODAY,30,-0.2732,0.0,0.13,0.87,1520314266.0
314,BreitbartNews,15,0.0,0.0,0.0,1.0,1520314306.0
528,USATODAY,29,0.0,0.0,0.0,1.0,1520314408.0
527,USATODAY,28,-0.5423,0.0,0.212,0.788,1520314503.0
130,FoxNews,31,-0.34,0.0,0.098,0.902,1520314748.0
526,USATODAY,27,0.0,0.0,0.0,1.0,1520314806.0
129,FoxNews,30,0.0,0.0,0.0,1.0,1520314910.0
218,nytimes,19,0.0,0.0,0.0,1.0,1520315107.0
128,FoxNews,29,-0.4019,0.084,0.149,0.766,1520315124.0
217,nytimes,18,0.0,0.0,0.0,1.0,1520315465.0
313,BreitbartNews,14,0.0,0.0,0.0,1.0,1520315535.0
415,CBSNews,16,-0.7269,0.0,0.225,0.775,1520315630.0
525,USATODAY,26,0.4588,0.167,0.0,0.833,1520316011.0
216,nytimes,17,0.2732,0.11,0.0,0.89,1520316035.0
524,USATODAY,25,0.0,0.0,0.0,1.0,1520316209.0
127,FoxNews,28,-0.5267,0.0,0.221,0.779,1520316294.0
414,CBSNews,15,-0.34,0.0,0.124,0.876,1520316394.0
126,FoxNews,27,-0.0772,0.0,0.075,0.925,1520316455.0
523,USATODAY,24,0.296,0.163,0.1,0.737,1520316654.0
312,BreitbartNews,13,-0.6597,0.0,0.241,0.759,1520316803.0
125,FoxNews,26,-0.1531,0.092,0.134,0.775,1520316915.0
215,nytimes,16,-0.5574,0.076,0.232,0.693,1520316968.0
522,USATODAY,23,0.0,0.0,0.0,1.0,1520317080.0
521,USATODAY,22,0.431,0.169,0.0,0.831,1520317203.0
214,nytimes,15,-0.5719,0.0,0.239,0.761,1520317267.0
124,FoxNews,25,-0.6808,0.0,0.384,0.616,1520317607.0
311,BreitbartNews,12,0.0,0.0,0.0,1.0,1520317653.0
213,nytimes,14,0.3182,0.145,0.086,0.769,1520317825.0
310,BreitbartNews,11,0.0,0.0,0.0,1.0,1520317945.0
413,CBSNews,14,-0.4404,0.0,0.196,0.804,1520318342.0
520,USATODAY,21,0.6966,0.242,0.0,0.758,1520318405.0
123,FoxNews,24,0.0,0.0,0.0,1.0,1520318526.0
212,nytimes,13,0.0,0.0,0.0,1.0,1520318763.0
122,FoxNews,23,-0.4939,0.0,0.225,0.775,1520318830.0
309,BreitbartNews,10,0.2449,0.137,0.104,0.759,1520319159.0
121,FoxNews,22,0.7441,0.314,0.0,0.686,1520319284.0
120,FoxNews,21,-0.5106,0.0,0.216,0.784,1520319300.0
308,BreitbartNews,9,-0.5574,0.0,0.167,0.833,1520319615.0
519,USATODAY,20,0.3612,0.217,0.0,0.783,1520319628.0
211,nytimes,12,0.8074,0.3,0.0,0.7,1520319727.0
307,BreitbartNews,8,0.6597,0.262,0.108,0.629,1520320320.0
119,FoxNews,20,0.4019,0.153,0.0,0.847,1520320411.0
118,FoxNews,19,0.0,0.0,0.0,1.0,1520320416.0
210,nytimes,11,0.0,0.0,0.0,1.0,1520320623.0
518,USATODAY,19,0.0258,0.101,0.097,0.802,1520320805.0
117,FoxNews,18,0.0,0.0,0.0,1.0,1520321307.0
517,USATODAY,18,0.0,0.0,0.0,1.0,1520321409.0
306,BreitbartNews,7,0.0,0.0,0.0,1.0,1520321512.0
209,nytimes,10,-0.3612,0.0,0.135,0.865,1520321523.0
412,CBSNews,13,0.4019,0.13,0.0,0.87,1520321751.0
516,USATODAY,17,0.0,0.0,0.0,1.0,1520321824.0
515,USATODAY,16,0.0,0.0,0.0,1.0,1520321826.0
411,CBSNews,12,-0.4404,0.0,0.121,0.879,1520321949.0
116,FoxNews,17,0.0772,0.056,0.0,0.944,1520321982.0
514,USATODAY,15,-0.3182,0.0,0.126,0.874,1520322005.0
410,CBSNews,11,-0.4939,0.0,0.158,0.842,1520322074.0
409,CBSNews,10,-0.1027,0.0,0.065,0.935,1520322271.0
408,CBSNews,9,-0.5719,0.0,0.207,0.793,1520322410.0
208,nytimes,9,0.0,0.0,0.0,1.0,1520322425.0
305,BreitbartNews,6,0.0,0.0,0.0,1.0,1520322729.0
407,CBSNews,8,-0.3506,0.0,0.126,0.874,1520322747.0
115,FoxNews,16,-0.836,0.0,0.357,0.643,1520322881.0
513,USATODAY,14,0.0,0.0,0.0,1.0,1520322903.0
406,CBSNews,7,0.2732,0.114,0.067,0.819,1520322933.0
405,CBSNews,6,0.802,0.286,0.0,0.714,1520323146.0
114,FoxNews,15,0.0,0.0,0.0,1.0,1520323199.0
512,USATODAY,13,0.0,0.0,0.0,1.0,1520323227.0
207,nytimes,8,0.25,0.19,0.155,0.655,1520323326.0
113,FoxNews,14,0.0516,0.099,0.09,0.811,1520323843.0
304,BreitbartNews,5,0.0,0.0,0.0,1.0,1520323959.0
112,FoxNews,13,0.0,0.0,0.0,1.0,1520324012.0
404,CBSNews,5,0.5994,0.234,0.0,0.766,1520324101.0
511,USATODAY,12,0.2782,0.14,0.0,0.86,1520324104.0
510,USATODAY,11,-0.25,0.0,0.077,0.923,1520324153.0
206,nytimes,7,-0.3182,0.0,0.133,0.867,1520324224.0
111,FoxNews,12,0.0,0.0,0.0,1.0,1520324520.0
110,FoxNews,11,0.0,0.0,0.0,1.0,1520324712.0
109,FoxNews,10,-0.2023,0.0,0.091,0.909,1520324864.0
205,nytimes,6,0.0258,0.294,0.287,0.42,1520325125.0
108,FoxNews,9,-0.1531,0.086,0.125,0.789,1520325141.0
303,BreitbartNews,4,0.0,0.0,0.0,1.0,1520325156.0
403,CBSNews,4,0.784,0.372,0.186,0.442,1520325301.0
509,USATODAY,10,-0.5423,0.0,0.257,0.743,1520325306.0
107,FoxNews,8,-0.296,0.0,0.115,0.885,1520325816.0
508,USATODAY,9,-0.4767,0.0,0.205,0.795,1520325904.0
204,nytimes,5,0.4939,0.132,0.0,0.868,1520326022.0
507,USATODAY,8,0.6115,0.285,0.0,0.715,1520326204.0
106,FoxNews,7,0.34,0.103,0.0,0.897,1520326211.0
302,BreitbartNews,3,0.0,0.0,0.0,1.0,1520326278.0
105,FoxNews,6,0.4576,0.232,0.098,0.67,1520326300.0
402,CBSNews,3,0.0,0.0,0.0,1.0,1520326502.0
506,USATODAY,7,0.4019,0.24,0.115,0.645,1520326809.0
203,nytimes,4,-0.8402,0.058,0.365,0.577,1520326925.0
505,USATODAY,6,0.0,0.0,0.0,1.0,1520327104.0
104,FoxNews,5,-0.7845,0.0,0.277,0.723,1520327237.0
301,BreitbartNews,2,0.0,0.0,0.0,1.0,1520327446.0
103,FoxNews,4,0.6369,0.189,0.0,0.811,1520327565.0
401,CBSNews,2,0.0,0.0,0.0,1.0,1520327701.0
504,USATODAY,5,0.3818,0.12,0.0,0.88,1520327704.0
202,nytimes,3,0.4215,0.128,0.0,0.872,1520327824.0
503,USATODAY,4,0.1779,0.145,0.0,0.855,1520328004.0
102,FoxNews,3,0.8316,0.315,0.0,0.685,1520328078.0
101,FoxNews,2,0.0,0.0,0.0,1.0,1520328307.0
201,nytimes,2,0.0,0.0,0.0,1.0,1520328422.0
502,USATODAY,3,0.1531,0.086,0.0,0.914,1520328428.0
300,BreitbartNews,1,0.0,0.0,0.0,1.0,1520328621.0
501,USATODAY,2,-0.4939,0.0,0.242,0.758,1520328766.0
400,CBSNews,1,-0.2944,0.0,0.099,0.901,1520328902.0
200,nytimes,1,0.4767,0.256,0.0,0.744,1520329026.0
500,USATODAY,1,0.7269,0.262,0.0,0.738,1520329204.0
100,FoxNews,1,0.1761,0.114,0.09,0.796,1520329219.0
